FEATURES,REFERENCE NAME,"AM62A7, AM62A7-Q1 AM62A74",AM62A72,"AM62A3, AM62A3-Q1 AM62A34",AM62A32,AM62A31,AM62A1-Q1 AM62A14,AM62A12
"WKUP_CTRL_MMR_CFG0_JTAG_USER_ID[31:13] (1) Register bit values by device ""Features"" code (See Nomenclature Description table for more information on device features)",,,,,,,,
L:,,–,0x253AC,0x251EC,0x251AC,0x2518C,–,–
M:,,0x253ED,0x253AD,0x251ED,0x251AD,–,0x250ED,0x250AD
PROCESSORS AND ACCELERATORS,,,,,,,,
Speed Grades,,"See Table 6-1, Device Speed Grades",,,,,,
Arm Cortex-A53 Microprocessor Subsystem,Arm A53,Quad Core,Dual Core,Quad Core,Dual Core,Single Core,Quad Core,Dual Core
Arm Cortex-R5F in MCU domain,MCU_R5F,Single Core Functional Safety Optional(4),,,,,,
C7xV-256 Deep Learning Accelerator,C7x MMA,Up to 2 TOPS,,Up to 1 TOPS,,,No (0 TOPS),
Vision Processing Accelerators,VPAC,Up to 5MP @ 60 fps,,,,,,
Video Encoder / Decoder,VENC/VDEC,Yes,,,,,,
Motion JPEG Encoder,MJPEG,Yes,,,,,,
Device Management Subsystem,WKUP_R5F,Single Core,,,,,,
Hardware Security Module,HSM,Yes,,,,,,
Crypto Accelerators,Security,Yes,,,,,,
PROGRAM AND DATA STORAGE,,,,,,,,
On-Chip Shared Memory (RAM) in MAIN Domain,OCSRAM,64KB,,,,,,
On-Chip Shared Memory (RAM) in MCU Domain,MCU_MSRAM,512KB,,,,,,
LPDDR4 DDR Subsystem,DDRSS,32-bit data with inline ECC up to 8GB,,,,,,
General-Purpose Memory Controller,GPMC,Up to 128MB with ECC,,,,,,
PERIPHERALS,,,,,,,,
Display Subsystem(2),DSS,1x DPI (Optional),,,,,,
Modular Controller Area Network Interface,MCAN,3,,,,,,
Full CAN-FD Support,CAN-FD,Yes,,,,,,
General-Purpose I/O,GPIO,Up to 168,,,,,,
Inter-Integrated Circuit Interface,I2C,6,,,,,,
Multichannel Audio Serial Port,MCASP,3,,,,,,
Multichannel Serial Peripheral Interface,MCSPI,5,,,,,,
Multi-Media Card/ Secure Digital Interface,MM/CSD,1x eMMC (8-bits),,,,,,
OSPI/QSPI/SPI(3) Flash Subsystem,OSPI,Yes,,,,,,
Gigabit Ethernet Interface,CPSW3G,Yes,,,,,,
General-Purpose Timers,TIMER,12 (4 in MCU Channel),,,,,,
Enhanced Pulse-Width Modulator Module,EPWM,3,,,,,,
Enhanced Capture Module,ECAP,3,,,,,,
Enhanced Quadrature Encoder Pulse Module,EQEP,3,,,,,,
Universal Asynchronous Receiver and Transmitter,UART,9,,,,,,
CSI2-RX Controller with DPHY,CSI-RX,1,,,,,,
USB2.0 Controller with PHY,USB 2.0,2,,,,,,
