Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62A12AQMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 12AQMSI Q1
AM62A12AQMSIANFRQ1.B,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 12AQMSI Q1
AM62A31AMLHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 105,
AM62A32AMLHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 105,
AM62A32AMLSIAMBQ1,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 125,
AM62A32AOMHIAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A OMHIAMB 498
AM62A32AOMHIAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A OMHIAMB 498
AM62A32AOMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 32AOMHI
AM62A32ASMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A SMSIAMBQ1 498
AM62A32ASMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A SMSIAMBQ1 498
AM62A32ASMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 32ASMSI Q1
AM62A34ASMHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A34A SMHAAMB 498
AM62A34ASMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMHI
AM62A34ASMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A34A SMSIAMBQ1 498
AM62A34ASMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A34A SMSIAMBQ1 498
AM62A34ASMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMSI Q1
AM62A34ASMSIANFRQ1.B,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMSI Q1
AM62A74AUMHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
AM62A74AUMHAAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
AM62A74AUMHAAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
AM62A74AUMHIAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMHIAMB 498
AM62A74AUMHIAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMHIAMB 498
AM62A74AUMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AUMHI
AM62A74AUMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMSIAMBQ1 498
AM62A74AUMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A74A UMSIAMBQ1 498
AM62A74AUMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AUMSI Q1
AM62A74AVMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AVMHI
AM62A74AVMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 74AVMSI Q1
