FEATURES,REFERENCE NAME,AM62L32,AM62L31
"WKUP_CTRL_MMR_CFG0_JTAG_USER_ID[31:13] (1) Register bit values by device ""Features"" code (See Nomenclature Description table for more information on device features)",,,
G:,,0x391A7,0x39187
PROCESSORS AND ACCELERATORS,,,
Speed Grades,,See Device Speed Grades Table,
Arm Cortex-A53 Microprocessor Subsystem,A53SS,Dual Core,Single Core
Security Controller,Security Controller,Yes,
Crypto Accelerators,Security,Yes,
PROGRAM AND DATA STORAGE,,,
On-Chip Shared Memory (RAM),OCSRAM in MAIN Domain,96KB,
,OCSRAM in WKUP Domain,64KB,
DDR Subsystem,DDRSS with DDR4,16-bit data; up to 4GB,
,DDRSS with LPDDR4,16-bit data; up to 2GB,
General-Purpose Memory Controller,GPMC,"16-bit (GPMC, Raw NAND, Muxed-NOR)",
PERIPHERALS,,,
Display Subsystem,DSS,1x DPI,
Modular Controller Area Network with Full CAN-FD Support,MCAN,3,
General-Purpose I/O,GPIO,133,
Inter-Integrated Circuit Interface,I2C,5,
Analog-to-Digital Converter,ADC,Yes,
Multichannel Audio Serial Port,MCASP,3 (4/6/16 bits),
Multichannel Serial Peripheral Interface,MCSPI,4,
Multi-Media Card/Secure Digital Interface,MMC/SD,1x eMMC (8 bits),
Flash Subsystem (FSS)(2),OSPI/QSPI,Yes,
Gigabit Ethernet Interface,CPSW3G,Yes,
General-Purpose Timers,TIMER,6,
Global Timer Counter,GTC,1,
Real Time Clock,RTC,Yes,
Enhanced Pulse-Width Modulator Module,EPWM,3,
Enhanced Capture Module,ECAP,3,
Enhanced Quadrature Encoder Pulse Module,EQEP,3,
Universal Asynchronous Receiver and Transmitter,UART,8,
USB2.0 Controller with PHY,USB 2.0,2,
