FEATURES,REFERENCE NAME,"AM62P, AM62P-Q1 AM62P54",AM62P52,AM62P34,AM62P32
"WKUP_CTRL_MMR_CFG0_JTAG_USER_ID[31:13] (1) Register bit values by device ""Features"" code (See Nomenclature Description table for more information on device features)",,,,,
G:,,–,0x352A7,–,0x351A7
M:,,0x352ED,0x352AD,0x351ED,0x351AD
PROCESSORS AND ACCELERATORS,,,,,
Speed Grades,,See Device Speed Grades table,,,
Arm Cortex-A53 Microprocessor Subsystem,Arm A53,Quad Core,Dual Core,Quad Core,Dual Core
Arm Cortex-R5F in MCU domain,MCU_R5F,Single Core Functional Safety Optional(3),,,
Graphics Processing Unit,GPU,Yes,Yes,No,No
Video Encoder / Decoder,VENC/VDEC,Yes,,,
Device Management Subsystem,WKUP_R5F,Single Core,,,
Hardware Security Module,HSM,Yes,,,
Crypto Accelerators,Security,Yes,,,
PROGRAM AND DATA STORAGE,,,,,
On-Chip Shared Memory (RAM) in MAIN Domain,OCSRAM,64KB,,,
On-Chip Shared Memory (RAM) in MCU Domain,MCU_MSRAM,512KB,,,
LPDDR4 DDR Subsystem,DDRSS,32-bit data with inline ECC up to 8GB,,,
General-Purpose Memory Controller,GPMC,Up to 128MB with ECC,,,
PERIPHERALS,,,,,
Display Subsystem,DSS,1x DPI,,,
Modular Controller Area Network Interface,MCAN,4,,,
Full CAN-FD Support,CAN-FD,Yes,,,
General-Purpose I/O,GPIO,Up to 158,,,
Inter-Integrated Circuit Interface,I2C,6,,,
Multichannel Audio Serial Port,MCASP,3,,,
Multichannel Serial Peripheral Interface,MCSPI,5,,,
Multi-Media Card/Secure Digital Interface,MMC/SD,1x eMMC (8-bits) up to: HS200 for non-Q1 devices HS400 for Q1 devices,,,
Flash Subsystem (FSS)(2),OSPI0/QSPI0,Yes(2),,,
Gigabit Ethernet Interface,CPSW3G,Yes,,,
General-Purpose Timers,TIMER,14 (4 in MCU and 2 in WKUP),,,
Global Timer Counter,GTC,1,,,
Enhanced Pulse-Width Modulator Module,EPWM,3,,,
Enhanced Capture Module,ECAP,3,,,
Enhanced Quadrature Encoder Pulse Module,EQEP,3,,,
Universal Asynchronous Receiver and Transmitter,UART,9,,,
CSI2-RX Controller with DPHY,CSI-RX,1,,,
USB2.0 Controller with PHY,USB 2.0,2,,,
