Device Line,Speed Grade,A53SS @ 0.75V (MHz),A53SS @ 0.85V (MHz),GPU (MHz),PRU (MHz),Main Infra/CBA (MHz),MCUSS/M4F (MHz),Device/Power Mgr (MHz),SMS Subsystem (MHz),OCSRAM (MHz),MAIN_SYSCLK0 (MHz),PER_SYSCLK0 (MHz),WKUP_SYSCLK0 (MHz),C7x @ 0.75V (MHz),C7x @ 0.85V (MHz),MAIN_SYSCLK (MHz),MCU R5F (MHz),Device Mgr R5F (MHz),HSM (MHz),VPAC (MHz),VENC/VDEC (MHz),MJPEG (MHz),GPU @ 0.75V (MHz),GPU @ 0.85V (MHz),VPU (MHz),DDR4 (MT/s),LPDDR4 (MT/s)
AM62x,G,300,300,500,250,250,400,400,400,400,,,,,,,,,,,,,,,,1600,1600
AM62x,K,800,800,500,250,250,400,400,400,400,,,,,,,,,,,,,,,,1600,1600
AM62x,S,1000,1000,500,333,250,400,400,400,400,,,,,,,,,,,,,,,,1600,1600
AM62x,T,1250,1400,500,333,250,400,400,400,400,,,,,,,,,,,,,,,,1600,1600
AM62L,E,833,833,,,,,,,,500,400,400,,,,,,,,,,,,,1600,1600
AM62L,O,1250,1250,,,,,,,,500,400,400,,,,,,,,,,,,,1600,1600
AM62A,M,800,800,,,,,,,,,,,500,500,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,N,800,800,,,,,,,,,,,850,1000,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,O,1000,1000,,,,,,,,,,,500,500,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,P,1000,1000,,,,,,,,,,,500,500,500,800 / 400,800 / 400,400,375,400,250,,,,,3733
AM62A,Q,1000,1000,,,,,,,,,,,850,1000,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,R,1000,1000,,,,,,,,,,,850,1000,500,800 / 400,800 / 400,400,375,400,250,,,,,3733
AM62A,S,1250,1400,,,,,,,,,,,500,500,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,T,1250,1400,,,,,,,,,,,500,500,500,800 / 400,800 / 400,400,375,400,250,,,,,3733
AM62A,U,1250,1400,,,,,,,,,,,850,1000,500,800 / 400,800 / 400,400,375,400,250,,,,,3200
AM62A,V,1250,1400,,,,,,,,,,,850,1000,500,800 / 400,800 / 400,400,375,400,250,,,,,3733
AM62P,O,1000,1000,,,,,,,,,,,,,500,800 / 400,800 / 400,400,,,,560,560,500,,3200
AM62P,S,1250,1400,,,,,,,,,,,,,500,800 / 400,800 / 400,400,,,,560,560,500,,3200
AM62P,T,1250,1400,,,,,,,,,,,,,500,800 / 400,800 / 400,400,,,,320,320,500,,3200
AM62P,U,1250,1400,,,,,,,,,,,,,500,800 / 400,800 / 400,400,,,,720,800,500,,3200
AM62P,V,1250,1400,,,,,,,,,,,,,500,800 / 400,800 / 400,400,,,,720,800,500,,3733
