Speed Grade,VDD_CORE (V)(1),MAXIMUM OPERATING FREQUENCY (MHz) A53SS (Cortex- A53x),C7x,MAIN SYSCLK,MCU R5F / SYSCLK,DEVICE MANAGER R5F / CLK,HSM,VPAC,VENC / VDEC,MJPEG,MAXIMUM TRANSITION RATE (MT/s) (2) LPDDR4
M,0.75/0.85,800,500,500,800 / 400,800 / 400,400,375,400,250,3200
N,0.75,800,850,500,800 / 400,800 / 400,400,375,400,250,3200
,0.85,,1000,,,,,,,,
O,0.75/0.85,1000,500,500,800 / 400,800 / 400,400,375,400,250,3200
P,0.75/0.85,1000,500,500,800 / 400,800 / 400,400,375,400,250,3733
Q,0.75,1000,850,500,800 / 400,800 / 400,400,375,400,250,3200
,0.85,,1000,,,,,,,,
R,0.75,1000,850,500,800 / 400,800 / 400,400,375,400,250,3733
,0.85,,1000,,,,,,,,
S,0.75,1250,500,500,800 / 400,800 / 400,400,375,400,250,3200
,0.85,1400,,,,,,,,,
T,0.75,1250,500,500,800 / 400,800 / 400,400,375,400,250,3733
,0.85,1400,,,,,,,,,
U,0.75,1250,850,500,800 / 400,800 / 400,400,375,400,250,3200
,0.85,1400,1000,,,,,,,,
V,0.75,1250,850,500,800 / 400,800 / 400,400,375,400,250,3733
,0.85,1400,1000,,,,,,,,
