FEATURES,REFERENCE NAME,"AM625, AM625-Q1 AM6254",AM6252,AM6251,AM623 AM6234,AM6232,AM6231,AM620-Q1 AM6204,AM6202,AM6201
"WKUP_CTRL_MMR_CFG0_JTAG_USER_ID[31:13](1) Register bit values by device ""Features"" code (See Device Naming Convention for more information on device features)",,,,,,,,,,
C:,,0x1D123,0x1D0A3,–,0x1D103,0x1D083,–,–,–,–
G:,,0x1D127,0x1D0A7,0x1D067,0x1D107,0x1D087,0x1D047,0x1D307,0x1D287,0x1D247
PROCESSORS AND ACCELERATORS,,,,,,,,,,
Speed Grades (See Device Speed Grades),,"T, S, K, G",,,,,,,,
Arm Cortex-A53 Microprocessor Subsystem,Arm A53,Quad Core,Dual Core,Single Core,Quad Core,Dual Core,Single Core,Quad Core,Dual Core,Single Core
Arm Cortex-M4F in MCU domain,Arm M4F,Single Core Functional Safety Optional(5),,,,,,,,
"3D Graphics Engine (OpenGL ES 3.1, Vulkan 1.2)",3D Graphics engine,Yes,Yes,Yes,No,No,No,No,No,No
Device Management Subsystem,WKUP_R5F,Single core,,,,,,,,
Crypto Accelerators,Security,Yes,,,,,,,,
PROGRAM AND DATA STORAGE,,,,,,,,,,
On-Chip Shared Memory (RAM) in MAIN Domain,OCSRAM,64KB (with SECDED ECC),,,,,,,,
On-Chip Shared Memory (RAM) in M4F Domain,MCU_MSRAM,256KB,,,,,,,,
DDR4/LPDDR4 DDR Subsystem,DDRSS,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,,,,,,,,
General-Purpose Memory Controller,GPMC,Up to 128MB with ECC,,,,,,,,
PERIPHERALS,,,,,,,,,,
Display Subsystem,DSS,1x DPI,,,,,,No,,
Modular Controller Area Network Interface with Full CAN-FD Support,MCAN,3,,,,,,,,
General-Purpose I/O,GPIO,Up to 168,,,,,,,,
Inter-Integrated Circuit Interface,I2C,6,,,,,,,,
Multichannel Audio Serial Port,MCASP,3,,,,,,,,
Multichannel Serial Peripheral Interface,MCSPI,5,,,,,,,,
Multi-Media Card/ Secure Digital Interface,MM/CSD,1x eMMC (8-bits),,,,,,,,
Flash Subsystem (FSS)(2),OSPI0/QSPI0,Yes(2),,,,,,,,
Programmable Real-Time Unit Subsystem(3),PRUSS,2x PRU Cores (Optional),,,,,,,,
Industrial Communication Subsystem Support(4),PRUSS,No,,,,,,,,
Gigabit Ethernet Interface,CPSW3G,Yes,,,,,,,,
General-Purpose Timers,TIMER,12 (4 in MCU Channel),,,,,,,,
Global Timer Counter,GTC,1,,,,,,,,
Enhanced Pulse-Width Modulator Module,EPWM,3,,,,,,,,
Enhanced Capture Module,ECAP,3,,,,,,,,
Enhanced Quadrature Encoder Pulse Module,EQEP,3,,,,,,,,
Universal Asynchronous Receiver and Transmitter,UART,9,,,,,,,,
CSI2-RX Controller with DPHY,CSI-RX,1,,,,,,,,
USB2.0 Controller with PHY,USB 2.0,2,,,,,,,,
