Device Line,Base Part,Family,Description,A53 Cores,Speed Grades Available,GPU,PRUSS,Cortex-M4F,Security Controller,Crypto Accelerators,C7x AI Accel,VPAC,VENC/VDEC,MJPEG,VPU,CSI-RX,ADC,Display,CAN,I2C,UART,SPI,McASP,eMMC,SD/SDIO,USB 2.0,Ethernet (CPSW3G),GPIO,ePWM,eCAP,eQEP,Timers,GTC,OCSRAM Main,OCSRAM MCU,DDR Support,GPMC,OSPI/QSPI,RTC
AM62x,AM6254,AM625,Human-machine Interaction SoC,Quad Core,G/K/S/T,Yes,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6252,AM625,Human-machine Interaction SoC,Dual Core,G/K/S/T,Yes,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6251,AM625,Human-machine Interaction SoC,Single Core,G/K/S/T,Yes,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6234,AM623,IoT and Gateway SoC,Quad Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6232,AM623,IoT and Gateway SoC,Dual Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6231,AM623,IoT and Gateway SoC,Single Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,1x DPI,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6204,AM620-Q1,Automotive Display SoC,Quad Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,No,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6202,AM620-Q1,Automotive Display SoC,Dual Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,No,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62x,AM6201,AM620-Q1,Automotive Display SoC,Single Core,G/K/S/T,No,2x PRU Cores (Optional),Single Core Functional Safety Optional(5),Yes,Yes,,,,,,1,,No,3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),1,64KB (with SECDED ECC),256KB,16-bit data with inline ECC; up to 8GB using DDR4 or 4GB using LPDDR4,Up to 128MB with ECC,Yes(2),
AM62L,AM62L32,AM62L,Low-power IoT/HMI SoC,Dual Core,E/O,No,No,No,Yes,Yes,,,,,,No,Yes,1x DPI,3,5,8,4,3 (4/6/16 bits),1x eMMC (8 bits),,2,Yes,133,3,3,3,6,1,96KB,,16-bit data; up to 4GB,"16-bit (GPMC, Raw NAND, Muxed-NOR)",Yes,Yes
AM62L,AM62L31,AM62L,Low-power IoT/HMI SoC,Single Core,E/O,No,No,No,Yes,Yes,,,,,,No,Yes,1x DPI,3,5,8,4,3 (4/6/16 bits),1x eMMC (8 bits),,2,Yes,133,3,3,3,6,1,96KB,,16-bit data; up to 4GB,"16-bit (GPMC, Raw NAND, Muxed-NOR)",Yes,Yes
AM62A,AM62A74,AM62A7,Edge AI Vision SoC,Quad Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,Up to 2 TOPS,Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A72,AM62A7,Edge AI Vision SoC,Dual Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,Up to 2 TOPS,Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A34,AM62A3,Edge AI Vision SoC,Quad Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,Up to 1 TOPS,Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A32,AM62A3,Edge AI Vision SoC,Dual Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,Up to 1 TOPS,Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A31,AM62A3,Edge AI Vision SoC,Single Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,Up to 1 TOPS,Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A14,AM62A1-Q1,Edge AI Vision SoC (Automotive),Quad Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,No (0 TOPS),Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62A,AM62A12,AM62A1-Q1,Edge AI Vision SoC (Automotive),Dual Core,M/N/O/P/Q/R/S/T/U/V,No,No,Single Core Functional Safety Optional(4),Yes,Yes,No (0 TOPS),Up to 5MP @ 60 fps,Yes,Yes,,1,No,1x DPI (Optional),3,6,9,5,3,1x eMMC (8-bits),,2,Yes,Up to 168,3,3,3,12 (4 in MCU Channel),,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes,
AM62P,AM62P54,AM62P5,Premium HMI SoC with GPU,Quad Core,O/S/T/U/V,Yes,No,Single Core Functional Safety Optional(3),Yes,Yes,,,Yes,,Yes,1,No,1x DPI,4,6,9,5,3,,,2,Yes,Up to 158,3,3,3,14 (4 in MCU and 2 in WKUP),1,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes(2),
AM62P,AM62P52,AM62P5,Premium HMI SoC with GPU,Dual Core,O/S/T/U/V,Yes,No,Single Core Functional Safety Optional(3),Yes,Yes,,,Yes,,Yes,1,No,1x DPI,4,6,9,5,3,,,2,Yes,Up to 158,3,3,3,14 (4 in MCU and 2 in WKUP),1,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes(2),
AM62P,AM62P34,AM62P3,Premium HMI SoC without GPU,Quad Core,O/S/T/U/V,No,No,Single Core Functional Safety Optional(3),Yes,Yes,,,Yes,,Yes,1,No,1x DPI,4,6,9,5,3,,,2,Yes,Up to 158,3,3,3,14 (4 in MCU and 2 in WKUP),1,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes(2),
AM62P,AM62P32,AM62P3,Premium HMI SoC without GPU,Dual Core,O/S/T/U/V,No,No,Single Core Functional Safety Optional(3),Yes,Yes,,,Yes,,Yes,1,No,1x DPI,4,6,9,5,3,,,2,Yes,Up to 158,3,3,3,14 (4 in MCU and 2 in WKUP),1,64KB,512KB,32-bit data with inline ECC up to 8GB,Up to 128MB with ECC,Yes(2),
